Name: 0, Condition: 2, Run: 25, Date: 10/7/2019 10:27:22 AM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
0.02,0,4.375035,17.50014,0.3430333,0.005110651
0.03,0,4.44924,17.79696,0.5210028,0.01032068
0.04,0,4.417681,17.67072,0.6977101,0.01729778
0.05,0,4.276578,17.10631,0.8687732,0.02598551
0.05999999,0,4.024192,16.09677,1.029741,0.03628292
0.06999999,0,3.660875,14.6435,1.176176,0.04804468
0.07999999,0,3.189085,12.75634,1.303739,0.06108207
0.08999999,0,2.613359,10.45343,1.408274,0.07516481
0.09999999,0,1.940252,7.761007,1.485884,0.09002364
0.11,0,1.17823,4.71292,1.533013,0.1053538
0.12,0,0.3375367,1.350147,1.546514,0.1208189
0.13,0,-0.5699781,-2.279912,1.523715,0.1360561
0.14,0,-1.531064,-6.124257,1.462473,0.1506808
0.15,0,-2.53129,-10.12516,1.361221,0.164293
0.16,0,-3.555301,-14.2212,1.219009,0.1764831
0.17,0,-4.587086,-18.34834,1.035526,0.1868383
0.18,0,-5.610249,-22.441,0.8111156,0.1949495
0.19,0,-6.608318,-26.43327,0.5467829,0.2004173
0.2,0,-7.56502,-30.26008,0.2441821,0.2028591
0.21,0,-8.464574,-33.8583,-0.09440084,0.2019151
0.22,0,-9.291985,-37.16794,-0.4660802,0.1972543
0.23,0,-10.03329,-40.13317,-0.8674119,0.1885802
0.24,0,-10.67584,-42.70336,-1.294446,0.1756358
0.25,0,-11.20849,-44.83397,-1.742785,0.1582079
0.26,0,-11.62184,-46.48737,-2.207659,0.1361313
0.27,0,-11.90838,-47.63352,-2.683994,0.1092914
0.28,0,-12.06263,-48.25053,-3.166499,0.0776264
0.29,0,-12.08127,-48.32507,-3.64975,0.0411289
0.3,0,-11.96315,-47.85259,-4.128276,-0.0001538579
0.31,0,-11.70937,-46.83747,-4.596651,-0.04612036
0.32,0,-11.32324,-45.29294,-5.04958,-0.09661616
0.33,0,-10.81021,-43.24085,-5.481988,-0.151436
0.3399999,0,-10.17783,-40.71133,-5.889102,-0.2103271
0.3499999,0,-9.435559,-37.74224,-6.266524,-0.2729923
0.3599999,0,-8.594629,-34.37852,-6.610309,-0.3390954
0.3699999,0,-7.667868,-30.67147,-6.917024,-0.4082656
0.3799999,0,-6.669437,-26.67775,-7.183801,-0.4801036
0.3899999,0,-5.614624,-22.45849,-7.408386,-0.5541875
0.3999999,0,-4.519543,-18.07817,-7.589168,-0.6300792
0.4099999,0,-3.400883,-13.60353,-7.725204,-0.7073312
0.4199999,0,-2.27559,-9.102362,-7.816227,-0.7854934
0.4299999,0,-1.160591,-4.642362,-7.86265,-0.8641199
0.4399998,0,-0.0724965,-0.289986,-7.86555,-0.9427754
0.4499998,0,0.9726955,3.890782,-7.826642,-1.021042
0.4599998,0,1.959859,7.839437,-7.748248,-1.098524
0.4699998,0,2.875019,11.50008,-7.633247,-1.174857
0.4799998,0,3.705569,14.82228,-7.485024,-1.249707
0.4899998,0,4.440506,17.76202,-7.307404,-1.322781
0.4999998,0,5.070591,20.28237,-7.10458,-1.393827
0.5099998,0,5.588519,22.35408,-6.881039,-1.462637
0.5199998,0,5.989013,23.95605,-6.641479,-1.529052
0.5299998,0,6.268928,25.07571,-6.390721,-1.592959
0.5399998,0,6.427269,25.70908,-6.133631,-1.654295
0.5499998,0,6.465206,25.86082,-5.875022,-1.713046
0.5599998,0,6.386023,25.54409,-5.619582,-1.769242
0.5699998,0,6.195053,24.78021,-5.371779,-1.822959
0.5799997,0,5.899548,23.59819,-5.135798,-1.874317
0.5899997,0,5.508548,22.03419,-4.915455,-1.923472
0.5999997,0,5.032696,20.13078,-4.714148,-1.970613
0.6099997,0,4.484011,17.93604,-4.534787,-2.015961
0.6199997,0,3.875679,15.50271,-4.37976,-2.059759
0.6299997,0,3.22179,12.88716,-4.250889,-2.102268
0.6399997,0,2.537072,10.14829,-4.149406,-2.143762
0.6499997,0,1.836588,7.346351,-4.075943,-2.184521
0.6599997,0.01168444,1.135491,4.588703,-4.030056,-2.224822
0.6699997,0.1156719,0.4487189,2.257563,-4.00748,-2.264896
0.6799996,0.1156719,-0.2093081,-0.3745449,-4.011225,-2.305009
0.6899996,0.180099,-0.8249119,-2.579252,-4.037018,-2.345379
0.6999996,0.180099,-1.385438,-4.821356,-4.085231,-2.386231
0.7099996,0.2908682,-1.879484,-6.354465,-4.148776,-2.427719
0.7199996,0.415201,-2.297116,-7.527661,-4.224052,-2.469959
0.7299996,0.415201,-2.630034,-8.859334,-4.312646,-2.513086
0.7399996,0.529361,-2.871731,-9.369479,-4.406341,-2.557149
0.7499996,0.529361,-3.017612,-9.953006,-4.505871,-2.602208
0.7599996,0.5836152,-3.065064,-9.925796,-4.605129,-2.648259
0.7699996,0.6898633,-3.013504,-9.294561,-4.698074,-2.69524
0.7799996,0.6898633,-2.864379,-8.698065,-4.785055,-2.743091
0.7899995,0.8051536,-2.621131,-7.26391,-4.857694,-2.791667
0.7999995,0.8051536,-2.289124,-5.935882,-4.917053,-2.840838
0.8099995,0.8560171,-1.875536,-4.078077,-4.957833,-2.890416
0.8199995,0.9746982,-1.389202,-1.658016,-4.974413,-2.940161
0.8299995,0.9746982,-0.8404642,0.5369358,-4.969044,-2.989851
0.8399995,1.084337,-0.240946,3.373565,-4.935308,-3.039204
0.8499995,1.084337,0.396664,5.924006,-4.876069,-3.087965
0.8599995,1.205279,1.05888,9.056639,-4.785502,-3.13582
0.8699995,1.253882,1.731654,11.94214,-4.666081,-3.182481
0.8799995,1.253882,2.400659,14.61816,-4.519899,-3.22768
0.8899994,1.373693,3.051595,17.70115,-4.342888,-3.271109
0.8999994,1.373693,3.670428,20.17649,-4.141123,-3.31252
0.9099994,1.477681,4.243689,22.88548,-3.912268,-3.351642
0.9199994,1.517241,4.758729,25.10388,-3.661229,-3.388255
